# 道具・家具・楽器・服・日用品（object）。薄い物（紙・カード・定規）は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
マイク	まいく	microphone	マイクロフォン	1		通信・音楽の機械	microphone,mic
# カメラ	かめら	camera		1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
望遠鏡	ぼうえんきょう	telescope	天体望遠鏡,双眼鏡	2		見る・調べる道具	telescope
顕微鏡	けんびきょう	microscope		2		見る・調べる道具	microscope
# 双眼鏡	そうがんきょう	binoculars		2	# 落とした: 細かすぎて 60³ では見分けがつかない
時計	とけい	wall clock	壁掛け時計,掛け時計,ウォッチ,クロック	1		時間をはかるもの	wall clock,clock
目覚まし時計	めざましどけい	alarm clock	目覚まし,めざまし	1		時間をはかるもの	alarm clock,alarmclock
# 腕時計	うでどけい	wristwatch	watch	2	# 落とした: 細かすぎて 60³ では見分けがつかない
砂時計	すなどけい	hourglass	サンドグラス	1		時間をはかるもの	hourglass,sandglass
柱時計	はしらどけい	grandfather clock	振り子時計,ふりこどけい,古時計	2		時間をはかるもの	grandfather clock,grandfatherclock
# 冷蔵庫	れいぞうこ	refrigerator	fridge	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 電子レンジ	でんしれんじ	microwave oven	レンジ,microwave	2	# 落とした: 生成テスト 60³(2026-09-21): 枠だけ
# 炊飯器	すいはんき	rice cooker	ricecooker	2	# 落とした: 細かすぎて 60³ では見分けがつかない
トースター	とーすたー	toaster		2		キッチン家電	toaster
# ミキサー	みきさー	blender		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# やかん	やかん	kettle	薬缶	1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
ティーポット	てぃーぽっと	teapot	きゅうす,急須	1		お茶・コーヒーの道具	teapot,tea pot
# 鍋	なべ	cooking pot	pot	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# フライパン	ふらいぱん	frying pan	fryingpan,pan	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ボウル	ぼうる	bowl	お椀	2	# 落とした: 細かすぎて 60³ では見分けがつかない
マグカップ	まぐかっぷ	mug	マグ	1		テーブルに並ぶもの	mug,mug cup
コップ	こっぷ	drinking glass	カップ	2		テーブルに並ぶもの	glass,cup,drinking glass,tumbler
# ワイングラス	わいんぐらす	wine glass		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# ティーカップ	てぃーかっぷ	teacup	tea cup	2	# 落とした: 細かすぎて 60³ では見分けがつかない
花瓶	かびん	vase	花びん,フラワーベース	1		ガーデニング	vase
植木鉢	うえきばち	flower pot	鉢,プランター	1		ガーデニング	flower pot,plant pot,flowerpot
じょうろ	じょうろ	watering can	如雨露,ジョウロ,ジョーロ	1		ガーデニング	watering can,wateringcan
バケツ	ばけつ	bucket	バケット	1		ガーデニング	bucket,pail
# ほうき	ほうき	broom	箒	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
掃除機	そうじき	vacuum cleaner	ルンバ,クリーナー	2		家電	vacuum cleaner,vacuum,hoover
# 洗濯機	せんたくき	washing machine	washingmachine,washer	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
アイロン	あいろん	clothes iron		2		家電	clothes iron,iron
ゴミ箱	ごみばこ	trash can	ごみ箱,ゴミ入れ,くずかご,ゴミ収集箱,ダストボックス	1		入れ物	trash can,garbage can,dustbin,wastebasket,trashcan,wheelie bin,dumpster,bin
# 傘	かさ	umbrella		1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
帽子	ぼうし	hat	野球帽,キャップ	1		頭にかぶるもの	hat,cap,baseballcap
麦わら帽子	むぎわらぼうし	straw hat	麦わら,ストローハット	1		頭にかぶるもの	straw hat,strawhat
# 王冠	おうかん	crown	冠	1	# 落とした: 生成テスト 60³(2026-09-21): 輪
ヘルメット	へるめっと	helmet	メット	1		頭にかぶるもの	helmet
兜	かぶと	samurai kabuto helmet	かぶと,カブト,ヘルメット	2		頭にかぶるもの	samurai kabuto helmet,kabuto,samurai helmet
# 野球帽	やきゅうぼう	baseball cap	キャップ,baseballcap	2	# 落とした: 細かすぎて 60³ では見分けがつかない
靴	くつ	shoe	シューズ,クツ,革靴	1		はきもの	shoe,shoes,footwear
ブーツ	ぶーつ	boots		1		はきもの	boots,boot
# スニーカー	すにーかー	sneaker	sneakers	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ハイヒール	はいひーる	high heel	ヒール,パンプス	2		はきもの	high heel,high heels,heels,highheels
手袋	てぶくろ	glove	グローブ	2		身につけるもの	glove,gloves
# Tシャツ	てぃーしゃつ	t-shirt	シャツ,tshirt	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
ドレス	どれす	dress	ウェディングドレス	2		身につけるもの	dress,gown
# 着物	きもの	kimono		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
ランドセル	らんどせる	Japanese red school backpack (randoseru)	リュック	1		持ち歩くもの	randoseru,school bag,school backpack
リュック	りゅっく	backpack	リュックサック,バックパック	1		持ち歩くもの	backpack,rucksack,knapsack
# 鞄	かばん	handbag	バッグ,bag	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# スーツケース	すーつけーす	suitcase	キャリーケース	1	# 落とした: 生成テスト 60³(2026-09-21): 薄い
宝箱	たからばこ	treasure chest	チェスト,宝の箱	1		入れ物	treasure chest,chest,treasurechest
# 金庫	きんこ	safe	vault	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
樽	たる	barrel	タル,ワイン樽,酒樽,わいんだる,バレル	1		入れ物	barrel,cask,keg
# 木箱	きばこ	wooden crate	crate	2	# 落とした: 細かすぎて 60³ では見分けがつかない
段ボール	だんぼーる	cardboard box	ダンボール,段ボール箱	1		入れ物	cardboard box,box,carton,cardboardbox
プレゼント	ぷれぜんと	gift box	贈り物,おくりもの,ギフト,プレゼント箱	1		入れ物	gift,present,gift box,giftbox
風船	ふうせん	balloon	バルーン	1		おもちゃ	balloon
地球儀	ちきゅうぎ	globe	地球	1		見る・調べる道具	globe
ギター	ぎたー	guitar	アコースティックギター,エレキギター,エレキ,アコギ	1		楽器	guitar,electricguitar
# エレキギター	えれきぎたー	electric guitar	エレキ,electricguitar	2	# 落とした: 細かすぎて 60³ では見分けがつかない
バイオリン	ばいおりん	violin	ヴァイオリン,ビオラ	1		楽器	violin,fiddle
# チェロ	ちぇろ	cello		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ピアノ	ぴあの	grand piano	piano	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ドラム	どらむ	drum set	ドラムセット,drumset	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
太鼓	たいこ	taiko Japanese drum	和太鼓,ドラム	1		楽器	taiko Japanese drum,drum,taiko
# トランペット	とらんぺっと	trumpet		1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# サックス	さっくす	saxophone	サキソフォン	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# アコーディオン	あこーでぃおん	accordion		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ウクレレ	うくれれ	ukulele		2	# 落とした: 細かすぎて 60³ では見分けがつかない
ハープ	はーぷ	harp	竪琴,たてごと	2		楽器	harp
# マラカス	まらかす	maracas		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
タンバリン	たんばりん	tambourine		2		楽器	tambourine
木琴	もっきん	xylophone	シロフォン,鉄琴,マリンバ	2		楽器	xylophone,marimba
ハンマー	はんまー	hammer	かなづち,金槌,トンカチ,とんかち	1		工具	hammer,mallet
# のこぎり	のこぎり	saw	鋸	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# レンチ	れんち	wrench		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 斧	おの	axe	ax	1	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ツルハシ	つるはし	pickaxe	つるはし,ピッケル,ピッケ	1		工具	pickaxe,pick
# シャベル	しゃべる	shovel	スコップ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
ドリル	どりる	power drill	電動ドリル	2		工具	power drill,drill
# チェーンソー	ちぇーんそー	chainsaw		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
はしご	はしご	ladder	梯子,ハシゴ,脚立,きゃたつ,はしごしゃ,ラダー	2		工具	ladder,stepladder
# 工具箱	こうぐばこ	toolbox		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
手押し車	ておしぐるま	wheelbarrow	猫車,ねこ車,一輪車,いちりんしゃ	2		ガーデニング	wheelbarrow,cart
消火器	しょうかき	fire extinguisher		1		街の機械	fire extinguisher,extinguisher,fireextinguisher
サッカーボール	さっかーぼーる	soccer ball	サッカー	1		スポーツ用品	soccer ball,football,soccerball
バスケットボール	ばすけっとぼーる	basketball	バスケ	1		スポーツ用品	basketball
野球ボール	やきゅうぼーる	baseball	硬球,野球	2		スポーツ用品	baseball
バット	ばっと	baseball bat	野球のバット	2		スポーツ用品	baseball bat,baseballbat
# テニスラケット	てにすらけっと	tennis racket	racket	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ラグビーボール	らぐびーぼーる	rugby ball	rugbyball	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# ボウリングのピン	ぼうりんぐのぴん	bowling pin	ピン,bowlingpin,ボウリング,bowling	1	# 落とした: 語が長すぎて打ちにくい
# ボウリングの球	ぼうりんぐのたま	bowling ball	bowlingball	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ダンベル	だんべる	dumbbell		1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# バーベル	ばーべる	barbell		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
トロフィー	とろふぃー	trophy	優勝カップ,優勝トロフィー	1		スポーツ用品	trophy
サーフボード	さーふぼーど	surfboard	サーフィン	2		海・プールのもの	surfboard
ボクシンググローブ	ぼくしんぐぐろーぶ	boxing glove	ボクシング	2		スポーツ用品	boxing glove,boxing gloves,boxingglove
# サイコロ	さいころ	dice	ダイス,die	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ルービックキューブ	るーびっくきゅーぶ	Rubik's cube	rubiks cube,rubikscube	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
チェスの駒	ちぇすのこま	chess king	チェス,駒,キング	2		おもちゃ	chess king,chess piece,chess,king
こま	こま	spinning top	独楽,コマ	2		おもちゃ	spinning top,top,spinningtop
# けん玉	けんだま	kendama wooden cup-and-ball toy		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
ヨーヨー	よーよー	yo-yo		2		おもちゃ	yo-yo,yoyo
折り鶴	おりづる	paper crane	折鶴,折り紙,おりがみ	2		和のもの	paper crane,origami crane,origami,papercrane
だるま	だるま	single red daruma doll on a table	達磨,ダルマ	1		和のもの	daruma,daruma doll
こけし	こけし	kokeshi wooden doll	小芥子,にんぎょう,人形	2		和のもの	kokeshi wooden doll,kokeshi,kokeshi doll
# トイレ	といれ	toilet	便所	1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# バスタブ	ばすたぶ	bathtub		1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# 洗面台	せんめんだい	bathroom sink	sink	2	# 落とした: 細かすぎて 60³ では見分けがつかない
トイレットペーパー	といれっとぺーぱー	toilet paper	トイレの紙	1		洗面所・お風呂のもの	toilet paper,toilet roll,toiletpaper
# ティッシュ	てぃっしゅ	tissue box	ティッシュ箱	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# はさみ	はさみ	scissors	鋏	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ホッチキス	ほっちきす	stapler		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# ドラム缶	どらむかん	oil drum		1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
タイヤ	たいや	tire	車輪,タイヤの山,たいやのやま	1		身の回りのもの	tire,tyre
# 車輪	しゃりん	wheel		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 歯車	はぐるま	gear	ギア,cog	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 錨	いかり	anchor	アンカー	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
舵	かじ	ship's wheel	舵輪,だりん,ハンドル,船のハンドル	2		身の回りのもの	ship's wheel,helm,shipswheel
南京錠	なんきんじょう	padlock	錠前,じょうまえ,鍵,かぎ,カギ	1		身の回りのもの	padlock,lock
# 鐘	かね	bell		1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
盾	たて	shield	シールド	2		武器・防具	shield
大砲	たいほう	cannon	砲,キャノン	1		武器・防具	cannon
爆弾	ばくだん	bomb	ボム	1		武器・防具	bomb
# 鎧	よろい	suit of armor	甲冑,armour	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
松明	たいまつ	torch	トーチ	2		火・明かり	torch
# 水晶玉	すいしょうだま	crystal ball	crystalball	2	# 落とした: 生成テスト 60³(2026-09-21): 球
# 宝石	ほうせき	gemstone	gem,jewel	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 金塊	きんかい	gold bar	goldbar	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# コイン	こいん	coin	硬貨,お金	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
指輪	ゆびわ	ring	リング,結婚指輪,ダイヤの指輪	3		身につけるもの	ring
# ゲームコントローラー	げーむこんとろーらー	game controller	コントローラー,gamepad,controller	2	# 落とした: 語が長すぎて打ちにくい
# 鳥かご	とりかご	birdcage	鳥籠,bird cage	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 水槽	すいそう	aquarium	fish tank	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ベビーベッド	べびーべっど	crib		3	# 落とした: 細かすぎて 60³ では見分けがつかない
揺り椅子	ゆりいす	rocking chair	ロッキングチェア	2		家具	rocking chair,rockingchair
# ハンモック	はんもっく	hammock		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# イーゼル	いーぜる	easel	画架,がか	2	2	工具	easel	# 2026-09-21 誰でも知っているものだけにする（本人）
懐中電灯	かいちゅうでんとう	flashlight	ハンドライト	2		火・明かり	flashlight,torchlight
# 電池	でんち	battery		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# プリンター	ぷりんたー	printer		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# コピー機	こぴーき	photocopier	copier	3	# 落とした: 細かすぎて 60³ では見分けがつかない
金魚鉢	きんぎょばち	fishbowl	水槽,すいそう	1		ペットのもの	fishbowl,fish bowl,goldfish bowl
# 土鍋	どなべ	Japanese earthenware cooking pot with lid	donabe,claypot	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ちゃぶ台	ちゃぶだい	low round Japanese wooden table	chabudai	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 枕	まくら	pillow		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
貯金箱	ちょきんばこ	piggy bank	豚の貯金箱,ぶたの貯金箱	1		入れ物	piggy bank,piggybank
# オルゴール	おるごーる	music box	musicbox	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ガチャガチャ	がちゃがちゃ	capsule toy machine	ガチャポン,ガシャポン,ガチャ	2		ゲームの機械	capsule toy machine,gacha,gachapon
# クレーンゲーム	くれーんげーむ	claw machine	UFOキャッチャー,clawmachine	2	# 落とした: 語が長すぎて打ちにくい
# ピンボール	ぴんぼーる	pinball machine	pinball	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 積み木	つみき	building blocks		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ビリヤード台	びりやーどだい	billiard table	ビリヤード,pool table,billiards	2	# 落とした: 語が長すぎて打ちにくい
卓球台	たっきゅうだい	ping pong table		2		スポーツ用品	ping pong table,table tennis table,pingpong,table tennis
# サッカーゴール	さっかーごーる	soccer goal	ゴール,goal	2	# 落とした: 語が長すぎて打ちにくい
# バスケットゴール	ばすけっとごーる	basketball hoop	ゴールリング,hoop	2	# 落とした: 語が長すぎて打ちにくい
跳び箱	とびばこ	gymnastics vaulting box	とびばこ	1		スポーツ用品	vaulting box,vaultingbox
# トランポリン	とらんぽりん	trampoline		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
テニスボール	てにすぼーる	tennis ball	テニス	2		スポーツ用品	tennis ball
バレーボール	ばれーぼーる	volleyball	バレー	2		スポーツ用品	volleyball
# バドミントンのシャトル	ばどみんとんのしゃとる	shuttlecock	シャトル,バドミントン	2	# 落とした: 語が長すぎて打ちにくい
# アイススケート靴	あいすすけーとぐつ	ice skate	スケート靴,スケート,iceskate	2	# 落とした: 語が長すぎて打ちにくい
# ローラースケート	ろーらーすけーと	roller skate	ローラーブレード,rollerskate	2	# 落とした: 語が長すぎて打ちにくい
ビーチボール	びーちぼーる	beach ball		1		海・プールのもの	beach ball,beachball
# 浮き輪	うきわ	swim ring	浮輪,swimring	1	# 落とした: 生成テスト 60³(2026-09-21): 球になる
# パラソル	ぱらそる	beach umbrella	ビーチパラソル,parasol	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
眼鏡	めがね	glasses	メガネ,伊達眼鏡,サングラス	3		身につけるもの	glasses,eyeglasses,spectacles
# サングラス	さんぐらす	sunglasses		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 蝶ネクタイ	ちょうねくたい	bow tie	bowtie	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 靴下	くつした	sock	socks,ソックス	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# ジャケット	じゃけっと	jacket		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# コート	こーと	coat		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# パーカー	ぱーかー	hoodie	フーディ	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# セーター	せーたー	sweater	ニット	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# スカート	すかーと	skirt		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ズボン	ずぼん	pants	trousers,パンツ	3	# 落とした: 細かすぎて 60³ では見分けがつかない
茶碗	ちゃわん	rice bowl	ご飯茶碗,お茶碗,おちゃわん,器,うつわ	2		テーブルに並ぶもの	rice bowl,bowl
# 湯呑み	ゆのみ	Japanese ceramic tea cup without handle	湯飲み,yunomi	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 徳利	とっくり	ceramic sake bottle		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# 缶詰	かんづめ	canned food	缶,can,tin	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
ペットボトル	ぺっとぼとる	plastic bottle	PETボトル,水	2		入れ物	plastic bottle,pet bottle,plasticbottle
瓶	びん	glass bottle	ビン,ガラス瓶	2	2	入れ物	bottle,glass bottle
# 水筒	すいとう	water bottle		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
壺	つぼ	clay jar	甕,ツボ,壷	1		入れ物	jar,urn
# すり鉢	すりばち	mortar	擂り鉢	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 七輪	しちりん	shichirin clay charcoal grill	shichirin	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# バーベキューグリル	ばーべきゅーぐりる	barbecue grill	BBQ,バーベキュー,grill	2	# 落とした: 語が長すぎて打ちにくい
# クーラーボックス	くーらーぼっくす	cooler box	クーラー箱,cooler	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ざる	ざる	colander	笊,strainer	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# おたま	おたま	ladle	お玉	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
泡立て器	あわだてき	whisk	ホイッパー	3		調理器具	whisk
# コーヒーメーカー	こーひーめーかー	coffee maker	coffeemaker	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 圧力鍋	あつりょくなべ	pressure cooker	pressurecooker	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ガスコンロ	がすこんろ	gas stove		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 食器棚	しょっきだな	cupboard	食器戸棚	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 食洗機	しょくせんき	dishwasher	食器洗い機	3	# 落とした: 細かすぎて 60³ では見分けがつかない
スツール	すつーる	stool	丸椅子,まるいす	2		家具	stool
# 洗濯かご	せんたくかご	laundry basket	laundrybasket	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 布団	ふとん	futon		3	# 落とした: 生成テスト 60³(2026-09-21): 絵がソファ
こたつ	こたつ	kotatsu heated table with blanket	炬燵,コタツ	2		家具	kotatsu
風鈴	ふうりん	wind chime	鈴	2		和のもの	wind chime,furin,windchime
# 鯉のぼり	こいのぼり	koinobori carp streamer on a pole	こいのぼり,carp streamer	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
門松	かどまつ	kadomatsu new year pine and bamboo decoration	正月飾り,しょうがつかざり	2		和のもの	kadomatsu,new year decoration
神輿	みこし	mikoshi portable shrine	御神輿,お神輿,おみこし	2		和のもの	mikoshi portable shrine,mikoshi,portable shrine
# 賽銭箱	さいせんばこ	wooden offering box of a Japanese shrine	お賽銭箱,offeringbox	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 木魚	もくぎょ	mokugyo wooden fish drum	wooden fish	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 香炉	こうろ	incense burner	incenseburner	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ロボット掃除機	ろぼっとそうじき	robot vacuum	ルンバ,robotvacuum	3	# 落とした: 語が長すぎて打ちにくい
# ゲーム機	げーむき	game console	ゲームコンソール,console	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# スマートスピーカー	すまーとすぴーかー	smart speaker	smartspeaker	3	# 落とした: 細かすぎて 60³ では見分けがつかない
ドライヤー	どらいやー	hair dryer	ヘアドライヤー	2		家電	hair dryer,dryer,hairdryer
# 電気シェーバー	でんきしぇーばー	electric shaver	シェーバー,shaver	3	# 落とした: 細かすぎて 60³ では見分けがつかない
ミシン	みしん	sewing machine		2		家電	sewing machine
# 加湿器	かしつき	humidifier		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 空気清浄機	くうきせいじょうき	air purifier	airpurifier	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ウォーターサーバー	うぉーたーさーばー	water dispenser	waterdispenser	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 芝刈り機	しばかりき	lawn mower	lawnmower	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# 寝袋	ねぶくろ	sleeping bag	sleepingbag	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 虫かご	むしかご	bug cage	虫籠,insect cage	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ハンドル	はんどる	steering wheel	steeringwheel	2	# 落とした: 語が長すぎて打ちにくい
# 給油機	きゅうゆき	gas pump	ガソリンポンプ,gaspump	2	# 落とした: 語が長すぎて打ちにくい
# ロッカー	ろっかー	locker		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# レジ	れじ	cash register	レジスター,cashregister	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# フラスコ	ふらすこ	flask		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# ビーカー	びーかー	beaker		2	# 落とした: 細かすぎて 60³ では見分けがつかない
救急箱	きゅうきゅうばこ	first aid kit	薬箱,くすりばこ	2		入れ物	first aid kit,first aid box
# ティンパニ	てぃんぱに	timpani		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# コントラバス	こんとらばす	double bass	ウッドベース,doublebass	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# トロンボーン	とろんぼーん	trombone		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ホルン	ほるん	french horn	frenchhorn,horn	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# チューバ	ちゅーば	tuba		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# オカリナ	おかりな	ocarina	笛,ふえ	2		楽器	ocarina	# 2026-09-21 誰でも知っているものだけにする（本人）
# 三味線	しゃみせん	shamisen Japanese three-string lute		2	# 落とした: 生成テスト 60³(2026-09-21): ギターと紛らわしい
