# 食べ物（food）。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
ドラゴンフルーツ	どらごんふるーつ	dragon fruit	ピタヤ	2		南国の果物	dragon fruit,pitaya,dragonfruit
ドリアン	どりあん	durian		2		南国の果物	durian
# いちじく	いちじく	fig	無花果	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# プラム	ぷらむ	plum	すもも,李	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ライチ	らいち	lychee	茘枝	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# びわ	びわ	loquat	枇杷	3	# 落とした: 細かすぎて 60³ では見分けがつかない
にんじん	にんじん	carrot	人参,キャロット,ニンジン	1		土の中で育つ野菜	carrot
じゃがいも	じゃがいも	potato	ジャガイモ,馬鈴薯	1		土の中で育つ野菜	potato
玉ねぎ	たまねぎ	onion	オニオン,タマネギ	1		土の中で育つ野菜	onion
トマト	とまと	tomato		1		野菜	tomato
# きゅうり	きゅうり	single whole cucumber, uncut	胡瓜	1	# 落とした: 生成テスト 60³(2026-09-21): 輪切りが混ざる
#   ↑ en を「cucumber」から書き換え（60³ テスト: 輪切りが混ざる）
# なす	なす	single whole purple eggplant	茄子,なすび,aubergine	1	# 落とした: 生成テスト 60³(2026-09-21): 2 個
#   ↑ en を「eggplant」から書き換え（60³ テスト: 2 個になる）
かぼちゃ	かぼちゃ	pumpkin	南瓜,パンプキン,カボチャ	1		野菜	pumpkin,squash
ピーマン	ぴーまん	bell pepper		1		野菜	bell pepper,green pepper,pepper,bellpepper
キャベツ	きゃべつ	cabbage		1		野菜	cabbage
# レタス	れたす	lettuce		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 白菜	はくさい	napa cabbage	napacabbage	3	# 落とした: 細かすぎて 60³ では見分けがつかない
ブロッコリー	ぶろっこりー	broccoli		1		野菜	broccoli
# カリフラワー	かりふらわー	cauliflower		3	# 落とした: 細かすぎて 60³ では見分けがつかない
とうもろこし	とうもろこし	corn	玉蜀黍,トウモロコシ,コーン	1		野菜	corn,maize,sweet corn
大根	だいこん	daikon radish	ダイコン	2		土の中で育つ野菜	daikon radish,daikon
# さつまいも	さつまいも	sweet potato	薩摩芋,sweetpotato	2	# 落とした: 細かすぎて 60³ では見分けがつかない
にんにく	にんにく	garlic	大蒜,ニンニク,ガーリック	2		土の中で育つ野菜	garlic
きのこ	きのこ	brown mushroom	マッシュルーム,茸,キノコ,しめじ,エリンギ	1		野菜	mushroom
# たけのこ	たけのこ	bamboo shoot	筍,bambooshoot	2	# 落とした: 細かすぎて 60³ では見分けがつかない
唐辛子	とうがらし	chili pepper	チリ,トウガラシ,鷹の爪,ハバネロ	2		野菜	chili pepper,chili,chilli,red pepper
# ズッキーニ	ずっきーに	zucchini		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# オクラ	おくら	okra		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 落花生	らっかせい	peanut	ピーナッツ,peanuts	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# くるみ	くるみ	walnut	胡桃	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ケーキ	けーき	cake	ホールケーキ,バースデーケーキ,誕生日ケーキ,デコレーションケーキ,ほーるけーき,たんじょうびけーき	1		スイーツ	cake,birthday cake
# ショートケーキ	しょーとけーき	strawberry shortcake	shortcake	2	# 落とした: 細かすぎて 60³ では見分けがつかない
カップケーキ	かっぷけーき	cupcake		1		スイーツ	cupcake
ドーナツ	どーなつ	donut	ドーナッツ	1		焼き菓子	donut,doughnut
クッキー	くっきー	cookie	ビスケット,びすけっと	2		焼き菓子	cookie,biscuit,biscuits
# マカロン	まかろん	macaron		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# プリン	ぷりん	caramel custard pudding on a plate, japanese purin	custard pudding	1	# 落とした: 生成テスト 60³(2026-09-21): 平たい
#   ↑ en を「pudding」から書き換え（60³ テスト: 絵が違う）
アイスクリーム	あいすくりーむ	ice cream	アイス,あいす	1		冷たいデザート	ice cream,icecream
# ソフトクリーム	そふとくりーむ	soft serve ice cream	softcream,soft serve	2	# 落とした: 細かすぎて 60³ では見分けがつかない
かき氷	かきごおり	shaved ice dessert in a bowl	カキ氷,こおり,氷	2		冷たいデザート	shaved ice,shavedice
パフェ	ぱふぇ	parfait	サンデー,アイスサンデー	2		冷たいデザート	parfait,sundae,ice cream sundae
# チョコレート	ちょこれーと	single bar of chocolate, whole, standing	チョコ,chocolate	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
#   ↑ en を「chocolate bar」から書き換え（60³ テスト: 薄い）
# キャンディ	きゃんでぃ	candy	キャンディー,飴	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ロリポップ	ろりぽっぷ	lollipop	ペロペロキャンディ,棒付きキャンディ	1		お菓子	lollipop
綿あめ	わたあめ	cotton candy	綿菓子,わたがし	2		お菓子	cotton candy,candy floss,cottoncandy
ポップコーン	ぽっぷこーん	popcorn		2		お菓子	popcorn
フライドポテト	ふらいどぽてと	french fries in a red paper box	ポテトフライ,マックのポテト	1		ファストフード	french fries,fries
#   ↑ en を「french fries」から書き換え（60³ テスト: 細い）
ハンバーガー	はんばーがー	hamburger	バーガー,チーズバーガー,マック,ちーずばーがー	1		ファストフード	hamburger,burger,cheeseburger,cheese burger
ホットドッグ	ほっとどっぐ	hot dog		1		ファストフード	hot dog,hotdog
# ピザ	ぴざ	whole round pizza on a wooden board, uncut	ピッツァ	1	# 落とした: 生成テスト 60³(2026-09-21): 薄い
#   ↑ en を「pizza」から書き換え（60³ テスト: 薄い）
サンドイッチ	さんどいっち	sandwich	サンド,サンドウィッチ	2		ファストフード	sandwich
ホットケーキ	ほっとけーき	pancakes	パンケーキ	1		朝ごはんの定番	pancakes,pancake
# ワッフル	わっふる	waffle		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
クロワッサン	くろわっさん	croissant		1		ベーカリー	croissant
食パン	しょくぱん	loaf of bread	食パン一斤,しょくぱんいっきん,ブレッド	1		ベーカリー	bread,loaf of bread,loaf,sliced bread
フランスパン	ふらんすぱん	baguette	バゲット	2		ベーカリー	baguette,french bread
# メロンパン	めろんぱん	melon bread	melonpan	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ベーグル	べーぐる	bagel		2	# 落とした: 細かすぎて 60³ では見分けがつかない
プレッツェル	ぷれっつぇる	pretzel		2		ベーカリー	pretzel
# おにぎり	おにぎり	single onigiri rice ball with seaweed, triangle shape	おむすび,riceball,onigiri	1	# 落とした: 生成テスト 60³(2026-09-21): 2 個
#   ↑ en を「onigiri rice ball with seaweed」から書き換え（60³ テスト: 2 個になる）
寿司	すし	nigiri sushi	お寿司,にぎり,おすし,握り寿司,握り	1		主食になる料理	nigiri sushi,sushi,nigiri
# 巻き寿司	まきずし	sushi roll (maki)	巻きずし,海苔巻き,sushiroll	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 餃子	ぎょうざ	gyoza dumplings	dumpling	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
肉まん	にくまん	steamed meat bun	中華まん,豚まん,ぶたまん,まんじゅう	2		世界の料理	steamed meat bun,meat bun,pork bun,steamed bun,baozi
ラーメン	らーめん	bowl of ramen noodles	拉麺,めん,麺	1		主食になる料理	ramen,noodles
カレーライス	かれーらいす	plate of Japanese curry rice	カレー,かれー	1		主食になる料理	curry,curry rice
オムライス	おむらいす	omurice omelette over rice	オムレツ	1		主食になる料理	omurice,omelette rice,omelet
卵	たまご	single white egg	タマゴ,玉子,エッグ,鳥の卵	1		朝ごはんの定番	egg
目玉焼き	めだまやき	fried egg		1		朝ごはんの定番	fried egg,sunny side up,friedegg
# ゆで卵	ゆでたまご	boiled egg	茹で卵,boiledegg	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# オムレツ	おむれつ	omelette	omelet	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ステーキ	すてーき	steak	ビーフステーキ,牛肉,ビーフ,にく,肉	2		メインのおかず	steak,beef
肉	にく	meat on the bone	骨付き肉,ほねつきにく,マンガ肉,まんがにく,骨付き	1		メインのおかず	meat,meat on the bone
ソーセージ	そーせーじ	sausage	ウインナー,ウィンナー,フランクフルト	2		メインのおかず	sausage,wiener
フライドチキン	ふらいどちきん	fried chicken	唐揚げ,からあげ,ケンタッキー	2		メインのおかず	fried chicken,friedchicken
# ローストチキン	ろーすとちきん	roast chicken	roastchicken	2	# 落とした: 細かすぎて 60³ では見分けがつかない
エビフライ	えびふらい	fried shrimp	海老フライ	2		魚介の料理	fried shrimp,shrimp tempura,friedshrimp
たこ焼き	たこやき	takoyaki octopus balls	たこやき,タコ焼き	2		お祭り・屋台の食べ物	takoyaki octopus balls,takoyaki
# 焼き鳥	やきとり	yakitori grilled chicken skewers		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
団子	だんご	dango rice dumplings on a skewer	お団子,おだんご,三色団子,みたらし団子	1		和菓子	dango,rice dumpling,dumpling
# 大福	だいふく	daifuku mochi		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 鏡餅	かがみもち	kagami mochi, two stacked round white rice cakes with a small orange on top		1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
#   ↑ en を「kagami mochi stacked rice cakes with an orange on top」から書き換え（60³ テスト: 複数になる）
# どら焼き	どらやき	dorayaki pancake sandwich		2	# 落とした: 細かすぎて 60³ では見分けがつかない
たい焼き	たいやき	taiyaki fish-shaped cake	タイ焼き,鯛焼き	2		和菓子	taiyaki fish-shaped cake,taiyaki
# バースデーケーキ	ばーすでーけーき	birthday cake	誕生日ケーキ,birthdaycake	1	# 落とした: 細かすぎて 60³ では見分けがつかない
ウェディングケーキ	うぇでぃんぐけーき	wedding cake	結婚式のケーキ	2		スイーツ	wedding cake,weddingcake
# アップルパイ	あっぷるぱい	apple pie	applepie	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# シュークリーム	しゅーくりーむ	cream puff	creampuff	2	# 落とした: 細かすぎて 60³ では見分けがつかない
チーズ	ちーず	cheese		1		乳製品	cheese
牛乳	ぎゅうにゅう	milk carton	ミルク,牛乳瓶,ぎゅうにゅうびん,牛乳パック	2		乳製品	milk carton,milk,milk bottle
ワイン	わいん	wine bottle	赤ワイン,ワインボトル	2		飲み物	wine
ビール	びーる	beer mug	ビール缶,缶ビール,かんびーる,ジョッキ,びーるかん	2		飲み物	beer mug,beer,beer can
ハチミツ	はちみつ	honey jar	蜂蜜,ハニー	2		パンに塗るもの	honey
ケチャップ	けちゃっぷ	ketchup bottle	トマトケチャップ	2		調味料	ketchup
# 弁当	べんとう	bento lunch box	お弁当,bento	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 焼き芋	やきいも	roasted sweet potato	やきいも	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# パスタ	ぱすた	spaghetti	スパゲッティ,pasta	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
タコス	たこす	taco		2		世界の料理	taco,tacos
# 春巻き	はるまき	spring roll	springroll	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ハンバーグ	はんばーぐ	hamburg steak	hamburgsteak	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# マシュマロ	ましゅまろ	marshmallow		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 魚の骨	さかなのほね	fish bone	fishbone	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 飴玉	あめだま	hard candy	飴,あめ	3	# 落とした: 細かすぎて 60³ では見分けがつかない
コーヒー	こーひー	coffee cup	コーヒーカップ,珈琲	2		飲み物	coffee
# お茶	おちゃ	green tea	緑茶,tea	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# サラダ	さらだ	salad bowl	salad	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# スープ	すーぷ	soup bowl	soup	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# チャーハン	ちゃーはん	fried rice	炒飯,friedrice	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 牛丼	ぎゅうどん	beef bowl	beefbowl	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# うどん	うどん	bowl of udon noodles		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 天ぷら	てんぷら	tempura shrimp		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# とんかつ	とんかつ	pork cutlet	トンカツ,porkcutlet	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 唐揚げ	からあげ	karaage fried chicken pieces	から揚げ,からあげ	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# せんべい	せんべい	senbei rice cracker	煎餅,ricecracker	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# お好み焼き	おこのみやき	okonomiyaki savory pancake		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# --- 2026-09-21 追加（1,000 語へ。生成しやすい「丸ごと 1 個」の食べ物に寄せた）
洋梨	ようなし	pear	ラフランス,西洋梨,梨,なし,ナシ	2		果物	pear
パパイヤ	ぱぱいや	papaya	パパイア	2		南国の果物	papaya
ザクロ	ざくろ	pomegranate	石榴	2		果物	pomegranate
柿	かき	persimmon	カキ	1		果物	persimmon
ライム	らいむ	lime		2		柑橘	lime
# いちじく	いちじく	fig	無花果,イチジク	2	# 落とした: 生成テスト 60³(2026-09-21): 切り口
ライチ	らいち	lychee	レイシ,茘枝	2		南国の果物	lychee
# スターフルーツ	すたーふるーつ	starfruit	カランボラ	2		果物	starfruit,star fruit,carambola	# 2026-09-21 誰でも知っているものだけにする（本人）
ゴーヤ	ごーや	bitter melon	ニガウリ,苦瓜,ゴーヤー	2		野菜	bitter melon,bitter gourd,goya
# ブルーベリー	ぶるーべりー	blueberry	blueberries	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ラズベリー	らずべりー	raspberry	木苺,きいちご	2		果物	raspberry,raspberries
# パッションフルーツ	ぱっしょんふるーつ	passion fruit	passionfruit	3	# 落とした: 生成テスト 60³(2026-09-21): 切り口
# マンゴスチン	まんごすちん	mangosteen		3		果物	mangosteen	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ランブータン	らんぶーたん	rambutan		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ジャックフルーツ	じゃっくふるーつ	jackfruit	パラミツ	3		果物	jackfruit	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
レタス	れたす	lettuce		1		野菜	lettuce
# 白菜	はくさい	napa cabbage	ハクサイ,chinese cabbage	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
カリフラワー	かりふらわー	cauliflower		2		野菜	cauliflower
さつまいも	さつまいも	sweet potato	サツマイモ,薩摩芋	1		土の中で育つ野菜	sweet potato,yam
たけのこ	たけのこ	bamboo shoot	タケノコ,筍	2		野菜	bamboo shoot
# ズッキーニ	ずっきーに	zucchini	courgette	2	# 落とした: 生成テスト 60³(2026-09-21): 切り口
# オクラ	おくら	okra		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ラディッシュ	らでぃっしゅ	radish	二十日大根,はつかだいこん,赤かぶ	2		野菜	radish	# 2026-09-21 誰でも知っているものだけにする（本人）
# ビーツ	びーつ	beetroot	ビート	2		野菜	beetroot,beet	# 2026-09-21 誰でも知っているものだけにする（本人）
かぶ	かぶ	turnip	カブ,蕪	2		土の中で育つ野菜	turnip
生姜	しょうが	ginger root	ショウガ,ジンジャー	2		土の中で育つ野菜	ginger root,ginger
# レンコン	れんこん	lotus root	蓮根	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# アスパラガス	あすぱらがす	asparagus	アスパラ	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# セロリ	せろり	celery		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
枝豆	えだまめ	edamame	エダマメ,大豆	2		野菜	edamame,soybeans
# えんどう豆	えんどうまめ	pea pod	エンドウ,グリーンピース,peas,green peas,さやえんどう	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# アーティチョーク	あーてぃちょーく	artichoke		3		野菜	artichoke	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
しいたけ	しいたけ	shiitake mushroom	シイタケ,椎茸	2		野菜	shiitake mushroom,shiitake
落花生	らっかせい	peanut	豆,まめ	2		木の実	peanut,peanuts
くるみ	くるみ	walnut	クルミ,胡桃	2		木の実	walnut
アーモンド	あーもんど	almond		2		木の実	almond
ショートケーキ	しょーとけーき	strawberry shortcake	いちごのケーキ,いちごケーキ	1		スイーツ	strawberry shortcake,shortcake
マカロン	まかろん	macaron		2		焼き菓子	macaron,macarons
ソフトクリーム	そふとくりーむ	soft serve ice cream		1		冷たいデザート	soft serve,soft serve ice cream,softcream
キャンディ	きゃんでぃ	wrapped candy	キャンディー,飴,あめ,アメ,飴玉,あめだま	1		お菓子	wrapped candy,candy,sweets
メロンパン	めろんぱん	melon bread		2		ベーカリー	melon bread,melonpan
ベーグル	べーぐる	bagel		2		ベーカリー	bagel
巻き寿司	まきずし	sushi roll	巻きずし,のり巻き,海苔巻き,恵方巻	2		主食になる料理	sushi roll,maki
ゆで卵	ゆでたまご	boiled egg	茹で卵	2		朝ごはんの定番	boiled egg,hard boiled egg
# オムレツ	おむれつ	omelette	omelet	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ローストチキン	ろーすとちきん	roast chicken	鶏肉,とりにく,丸鶏	2		メインのおかず	roast chicken,roasted chicken
大福	だいふく	daifuku mochi	だいふく,ダイフク,いちご大福	2		和菓子	daifuku mochi,daifuku
どら焼き	どらやき	dorayaki	どらやき,ドラヤキ	2		和菓子	dorayaki
シュークリーム	しゅーくりーむ	cream puff	シュー	2		焼き菓子	cream puff,choux
# 弁当	べんとう	bento lunch box	bento,お弁当,おべんとう,弁当箱	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
焼き芋	やきいも	roasted sweet potato	やきいも,ヤキイモ,焼きいも	2		お祭り・屋台の食べ物	roasted sweet potato,yaki imo
春巻き	はるまき	spring roll	ハルマキ	2		メインのおかず	spring roll,egg roll,spring rolls,harumaki
# ハンバーグ	はんばーぐ	hamburg steak	hamburger steak,salisbury steak	2	# 落とした: 生成テスト 60³(2026-09-21): 平たい
マシュマロ	ましゅまろ	marshmallow		2		お菓子	marshmallow,marshmallows
# サラダ	さらだ	salad bowl	salad	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# スープ	すーぷ	bowl of soup	soup	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# チャーハン	ちゃーはん	fried rice	炒飯,焼き飯,やきめし	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 牛丼	ぎゅうどん	beef bowl	gyudon	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# うどん	うどん	bowl of udon noodles	udon,ウドン	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# そば	そば	bowl of soba noodles	soba,ソバ,蕎麦	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# おでん	おでん	oden	オデン	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 天ぷら	てんぷら	tempura	テンプラ,天麩羅	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 唐揚げ	からあげ	karaage fried chicken	karaage,から揚げ,からあげ,カラアゲ	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# とんかつ	とんかつ	tonkatsu pork cutlet	tonkatsu,トンカツ,豚カツ,カツ	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 焼き魚	やきざかな	grilled fish	やきざかな,秋刀魚,サンマ,さんま	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# お好み焼き	おこのみやき	okonomiyaki	オコノミヤキ,okonomi yaki	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 焼きそば	やきそば	yakisoba	ヤキソバ,焼そば	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
餅	もち	mochi rice cake	おもち,お餅,モチ	1		和菓子	mochi rice cake,mochi,rice cake
せんべい	せんべい	senbei rice cracker	煎餅,センベイ,おせんべい	2		和菓子	senbei rice cracker,senbei,rice cracker
# 羊羹	ようかん	yokan	ようかん,ヨウカン	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
柏餅	かしわもち	kashiwa mochi		3		和菓子	kashiwa mochi,kashiwamochi
桜餅	さくらもち	sakura mochi		3		和菓子	sakura mochi,sakuramochi
# 味噌汁	みそしる	miso soup	miso,みそ汁,味噌スープ	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 茶碗蒸し	ちゃわんむし	chawanmushi	ちゃわんむし	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# カツ丼	かつどん	katsudon	katsu don	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 親子丼	おやこどん	oyakodon	oyako don	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 海鮮丼	かいせんどん	kaisendon	kaisen don,seafood bowl	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
いなり寿司	いなりずし	inari sushi	いなり,稲荷寿司,おいなり,おいなりさん	2		主食になる料理	inari sushi,inari,inarizushi
# 小籠包	しょうろんぽう	xiaolongbao	xiao long bao,小龍包,ショウロンポウ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 北京ダック	ぺきんだっく	peking duck	beijing duck	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
麻婆豆腐	まーぼーどうふ	mapo tofu	マーボー豆腐,麻婆,マーボー	2		世界の料理	mapo tofu
# エビチリ	えびちり	chili shrimp	ebi chili,ebichiri	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 酢豚	すぶた	sweet and sour pork		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# パエリア	ぱえりあ	paella		2	# 落とした: 生成テスト 60³(2026-09-21): 塊
ラザニア	らざにあ	lasagna		2		世界の料理	lasagna,lasagne
# グラタン	ぐらたん	gratin		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# リゾット	りぞっと	risotto		3	# 落とした: 生成テスト 60³(2026-09-21): 塊
ブリトー	ぶりとー	burrito		2		世界の料理	burrito
# ナチョス	なちょす	nachos		3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# ケバブ	けばぶ	doner kebab	kebab,kebap	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
カレーパン	かれーぱん	curry bread	カレーパン	2		ベーカリー	curry bread,curry bun
コロッケ	ころっけ	croquette		2		メインのおかず	croquette,korokke,croquettes
# ナポリタン	なぽりたん	napolitan spaghetti	napolitan,ナポリタンスパゲッティ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# カルボナーラ	かるぼなーら	carbonara		3	# 落とした: 生成テスト 60³(2026-09-21): 塊
ミートボール	みーとぼーる	meatballs	肉団子,にくだんご	2		メインのおかず	meatballs,meatball
ロールキャベツ	ろーるきゃべつ	cabbage rolls		3		メインのおかず	cabbage rolls,cabbage roll,stuffed cabbage
# シチュー	しちゅー	bowl of stew	stew,ビーフシチュー,クリームシチュー	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# フィッシュアンドチップス	ふぃっしゅあんどちっぷす	fish and chips	fish & chips	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ティラミス	てぃらみす	tiramisu		2		スイーツ	tiramisu
チーズケーキ	ちーずけーき	cheesecake		2		スイーツ	cheesecake,cheese cake
モンブラン	もんぶらん	mont blanc dessert	栗のケーキ	2		スイーツ	mont blanc dessert,mont blanc,montblanc
エクレア	えくれあ	eclair		2		焼き菓子	eclair
ミルフィーユ	みるふぃーゆ	mille-feuille		3		焼き菓子	mille-feuille,millefeuille,mille feuille
# タルト	たると	fruit tart	tart	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
スコーン	すこーん	scone		2		焼き菓子	scone,scones
マフィン	まふぃん	muffin		2		焼き菓子	muffin,muffins
# ブラウニー	ぶらうにー	brownie	brownies	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
フレンチトースト	ふれんちとーすと	french toast		2		朝ごはんの定番	french toast
# クレープ	くれーぷ	crepe	crêpe	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# チュロス	ちゅろす	churros	churro	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
バウムクーヘン	ばうむくーへん	baumkuchen	バームクーヘン	2		スイーツ	baumkuchen
カステラ	かすてら	castella cake		2		スイーツ	castella cake,castella,sponge cake,kasutera
ゼリー	ぜりー	jelly dessert	ジェリー	2		冷たいデザート	jelly dessert,jello,gelatin
ヨーグルト	よーぐると	yogurt cup		2		乳製品	yogurt,yoghurt
# 杏仁豆腐	あんにんどうふ	almond jelly	annin tofu,annindofu	3	# 落とした: 生成テスト 60³(2026-09-21): 球
今川焼き	いまがわやき	imagawayaki	大判焼き,おおばんやき,回転焼き,今川焼	3		和菓子	imagawayaki,obanyaki,imagawa yaki
# グミ	ぐみ	gummy bears	gummy,gummies,gummy bear,グミベア	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
キャラメル	きゃらめる	caramel candy		2		お菓子	caramel candy,caramel,caramels
