# 建物・構造物（building）。1 体で形が決まるものだけ。街・村・風景は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# 公衆トイレ	こうしゅうといれ	public toilet building	public toilet	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
小屋	こや	wooden hut	物置,ものおき,掘っ立て小屋	2		住む・泊まる建物	wooden hut,hut,shed,shack
# サーカステント	さーかすてんと	circus tent	circus,big top,サーカス	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# ティピー	てぃぴー	tipi tent	テント,インディアンのテント	3		住む・泊まる建物	tipi tent,tipi,teepee,tent	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ゲル	げる	mongolian yurt	yurt,ユルト,パオ	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# かまくら	かまくら	kamakura snow hut	雪の家,イグルー	2		日本の建物	kamakura snow hut,kamakura,snow hut,igloo	# 2026-09-21 甘さの見直し: 「イグルー」に統合（spec 12 の 2-5）
# オベリスク	おべりすく	obelisk		3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# マンション	まんしょん	apartment building	apartment,condominium,団地,アパート	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 工場	こうじょう	factory	plant,製鉄所	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# 学校	がっこう	school building	school,校舎	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# 病院	びょういん	hospital		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
ホテル	ほてる	hotel	旅館,りょかん,宿	2		住む・泊まる建物	hotel,inn
宮殿	きゅうでん	palace	パレス,しろ,城	2		住む・泊まる建物	palace
# 要塞	ようさい	fortress	砦,とりで,城塞	2		住む・泊まる建物	fortress,fort	# 2026-09-21 誰でも知っているものだけにする（本人）
# 城門	じょうもん	castle gate	gate,門,もん	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# エンパイアステートビル	えんぱいあすてーとびる	Empire State Building	empire state	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
ホワイトハウス	ほわいとはうす	White House	大統領の家	2		世界の名所	white house
# サグラダファミリア	さぐらだふぁみりあ	Sagrada Familia		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# ノートルダム	のーとるだむ	Notre Dame cathedral	notre dame,大聖堂	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# クレムリン	くれむりん	Kremlin	聖ワシリイ大聖堂,ロシアの教会	3		世界の名所	Kremlin,st basils cathedral	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# オペラハウス	おぺらはうす	Sydney Opera House	opera house,シドニーオペラハウス	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 万里の長城	ばんりのちょうじょう	Great Wall of China	great wall,長城	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# 鐘楼	しょうろう	bell tower	belfry,鐘つき堂	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 展望台	てんぼうだい	observation tower	watchtower,見張り台,物見やぐら,やぐら	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ATM	えーてぃーえむ	ATM machine	現金自動預け払い機,銀行の機械	3		道ばたにあるもの	ATM machine,atm,cash machine
# 電柱	でんちゅう	utility pole	telephone pole,power pole,電信柱	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
ゴールポスト	ごーるぽすと	soccer goal	サッカーゴール,ゴール	2		公園・グラウンドにあるもの	soccer goal,goal,goalpost,goal post
# バスケットゴール	ばすけっとごーる	basketball hoop	hoop,バスケゴール	2	# 落とした: 生成テスト 60³(2026-09-21): 輪
ジャングルジム	じゃんぐるじむ	jungle gym		2		公園・グラウンドにあるもの	jungle gym,climbing frame
# 砂場	すなば	sandbox	sand pit	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が砂漠
# プール	ぷーる	swimming pool	pool	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# 祭壇	さいだん	altar		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# ガレージ	がれーじ	garage	車庫	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# 倉庫	そうこ	warehouse		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# コンビニ	こんびに	convenience store	convenience store building	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
屋台	やたい	yatai food stall	出店,でみせ,露店,ろてん	2		日本の建物	yatai food stall,food stall,food cart,stall,yatai

シーソー	しーそー	seesaw		2		公園・グラウンドにあるもの	seesaw
